X,Y,FID,OBJECTID,TFM_ID,TFM_DESC,TFM_TYP_DE,MOVEMENT_T,SITE_DESC,ROAD_NBR,DECLARED_R,LOCAL_ROAD,DATA_SRC_C,DATA_SOURC,TIME_CATEG,YEAR_SINCE,LAST_YEAR,AADT_ALLVE,AADT_TRUCK,PER_TRUCKS
144.981910120597945,-36.439017399269765,44786,44167,43871,GIRGARRE-RUSHWORTH RD S BD 200M N OF BLAMEY RD @ 4.2KM FROM GIRGARRE,MIDBLOCK,All Moves,GIRGARRE-RUSHWORTH RD 200M N OF BLAMEY RD @ 4.2KM FROM GIRGARRE,5371,GIRGARRE-RUSHWORTH ROAD,CURR ROAD,APARX,Classification,Greater than 10 Years,21,1995,530,80,0.15
145.13643463474844,-37.961191290211296,44787,44461,44396,SPRINGVALE RD S of HEATHERTON RD,INTERSECTION,All Moves,HEATHERTON RD & SPRINGVALE RD,5056,WESTALL ROAD,WESTALL ROAD EX,TMVMT,Manual,Greater than 10 Years,21,1995,13000,0,0
144.4313218899145,-38.032634404539159,44788,44960,43753,ON RAMP TO PRINCES FWY SWB FROM AVALON RD LARA INTERCHANGE,MIDBLOCK,On Ramp,ON RAMP TO PRINCES FWY SFROM AVALON RD LARA INTERCHANGE,7025,AVALON ROADB 2500F,AVALON-PRINCES OUT RAMP ON,APARX,Classification,Between 5 and 10 Years,7,2009,1600,260,0.16
143.182742799293976,-35.476417752364981,44789,44569,43053,SEA LAKE-SWAN HILL RD E BD 800M W OF GOWANFORD SOUTH RD @ 29.0KM FROM SEA LAKE,MIDBLOCK,All Moves,SEA LAKE-SWAN HILL RD 800M W OF GOWANFORD SOUTH RD @ 29.0KM FROM SEA LAKE,5326,SEA LAKE-SWAN HILL ROAD,SEA LAKE-SWAN HILL ROAD,APARX,Classification,Between 5 and 10 Years,10,2006,130,20,0.15
145.214394745335454,-37.988139278686177,44790,44864,40523,WALKER ST NEBD NE OF LONSDALE ST,INTERSECTION,All Moves,LONSDALE ST N OF WALKER ST,2510,PRINCES HIGHWAY EAST,LONSDALE STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0
141.620701764909796,-38.356524387018979,44791,44168,43817,MADERIA-PACKET RD SEBD 200M N OF FINDLAY ST,MIDBLOCK,All Moves,MADERIA-PACKET RD 200M N OF FINDLAY ST,5255,MADEIRA PACKET ROAD,MADEIRA PACKET ROAD,APARX,Classification,Between 2 and 5 Years,2,2014,510,190,0.38
146.412946187735628,-35.987277507992182,44792,44070,43966,COROWA-LOWESDALE RD SEBD 4.2 KM N OF COROWA TOWNSHIP,MIDBLOCK,All Moves,COROWA-LOWESDALE RD S4.2 KM N OF COROWA TOWNSHIP,5585,WAHGUNYAH-WANGARATTA ROAD,ALL SAINTS ROAD,APARX,Classification,Greater than 10 Years,24,1992,130,30,0.25
145.102223293057676,-38.027903303284852,44793,44462,49789,NEPEAN_HWY SE OF ASPENDALE_LEVEL_XG,INTERSECTION,All Moves,NEPEAN HWY/LINCOLN PDE/STATION ST,2660,NEPEAN HIGHWAY,NEPEAN HIGHWAY,SCATS,Scats,Between 5 and 10 Years,7,2009,16000,0,0
142.202185989630948,-36.720704810480591,44794,44961,47595,O'CALLAGHANS PARADE E BD BETWEEN MCPHERSON & FIREBRACE STS,MIDBLOCK,All Moves,O'CALLAGHANS PARADE BETWEEN MCPHERSON & FIREBRACE STS,9999,Missing Data,OCALLAGHANS PARADE,APARX,Classification,Greater than 10 Years,25,1991,4100,450,0.11
146.144791738127054,-36.023989529605984,44795,44865,41688,MURRAY VALLEY HWY E BD 100M W OF MCPHAILS RD @ 74.0KM FROM WODONGA,MIDBLOCK,All Moves,MURRAY VALLEY HWY 100M W OF MCPHAILS RD @ 74.0KM FROM WODONGA,2570,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,APARX,Classification,Between 2 and 5 Years,2,2014,0,210,0
